Age,White,Blue,Military,All
16,9320.761999999999,10286.738757692308,,10217.740417857143
17,10049.75707142857,11572.887893333338,9005.362615384614,11036.59710784314
18,11775.341338028167,12603.820833333339,10171.868149999997,12060.746018567635
19,12376.418072164943,12949.83822712934,9714.600107526885,12246.684577909267
20,13824.01321875,14363.658470588232,10852.506970588232,13635.869637138005
21,15578.139154929577,15313.451472553705,12619.374666666665,14977.004406392696
22,20236.075551401864,16947.904935084036,13771.555540540541,17561.28014018324
23,20745.564705685614,17884.949781704796,14868.653698113205,18719.83593997598
24,24066.6358841699,19245.185943699722,15910.839514285712,20942.417442278867
25,24899.227801932364,21473.314696,17134.46345454545,22754.54493736952
26,32756.036037974674,20738.914695999993,25216.829999999998,25390.897300970853
All,20294.999387566135,16436.95823395863,12255.745976363649,17115.60073109279
